"","mz","rt","S_1","S_2","S_3","S_4","S_5","S_6","S_7","S_8","S_9","S_10","B_1","NIST_1","SP_1","S_11","S_12","S_13","S_14","S_15","S_16","S_17","S_18","S_19","S_20","B_2","NIST_2","SP_2","S_21","S_22","S_23","S_24","S_25","S_26","S_27","S_28","S_29","S_30","B_3","NIST_3","SP_3","S_31","S_32","S_33","S_34","S_35","S_36","S_37","S_38","S_39","S_40","B_4","NIST_4","SP_4","S_41","S_42","S_43","S_44","S_45","S_46","S_47","S_48","S_49","S_50","B_5","NIST_5","SP_5","S_51","S_52","S_53","S_54","S_55","S_56","S_57","S_58","S_59","S_60","B_6","NIST_6","SP_6","S_61","S_62","S_63","S_64","S_65","S_66","S_67","S_68","S_69","S_70","B_7","NIST_7","SP_7","S_71","S_72","S_73","S_74","S_75","S_76","S_77","S_78","S_79","S_80","B_8","NIST_8","SP_8","S_81","S_82","S_83","S_84","S_85","S_86","S_87","S_89","S_90","B_9","NIST_9","SP_9","S_91","S_92","S_93","S_94","S_95","S_96","S_97","S_98","S_99","S_100","B_10","NIST_10","SP_10","S_101","S_102","S_103","S_104","S_105","S_106","S_107","S_108","S_109","S_110","pValue"
"305","239.0912702","8.460901457","","294324.8897","8738591.182","","","2588072.832","1292085.761","4696975.279","","3531505.938","","","1951337.09","2003598.681","2726447.343","1462269.882","","18478847","465316.5591","454727.6818","1184086.517","2250540.581","1057127.252","","","","1191973.341","3741431.699","","608725.9617","","2833949.53","2256456.282","","1932905.326","524321.1589","","742483.71","1982071.285","2564862.344","2311028.377","","3019228.611","4561313.576","892450.8169","","269223.1815","","1903345.5","","","1840886.312","818600.5534","1038836.639","514324.2846","2827107.727","","4758282.537","2228693.027","410793.4435","2918240.502","883100.3766","","772242.7166","","2223719.654","520931.9089","3390825.311","2181254.799","3432965.013","1795621.043","122993.6748","459687.1545","270258.4896","","","723323.2536","1912736.089","1481371.546","","2533173.941","4116304.402","","138725.7439","1088179.777","2391087.921","532057.264","2245541.698","","702599.6634","","6047106.103","3021839.003","","","2354647.329","724078.0844","844088.0072","519459.117","","","","720498.732","1821595.555","","958189.3889","5812840.424","","432272.4939","757351.531","","2346537.202","","","614194.3694","1613215.187","481848.4521","","400318.5404","4011182.77","641565.1209","","1005797.005","","1896873.499","787356.2722","","","1416852.275","","3219652.326","621732.3254","294464.4604","250724.2603","","912375.6296","275131.5247","642702.8258","1480474.829","0.11862081019611037"
"308","255.1225125","11.71675287","","341331.7665","8293031.57","2015709.38","359375.618","1319082.589","1893589.765","","","2642998.647","","987605.6174","1926666.062","3390121.676","5761371.551","696014.3318","138126.7569","10134537.48","760552.6991","","2354077.429","1463199.153","","","942229.9115","1747924.441","813946.9654","2552410.943","1592330.989","","337547.1286","1280961.951","6346227.144","","2532908.515","","","938016.4129","1919175.223","","7727273.947","1785743.855","1289501.133","4945325.715","557495.6168","4243687.869","241180.1608","","1653571.346","","","1852262.518","2403029.44","183854.8798","1238176.375","4605935.823","116104.8546","13029960.51","","","2353327.462","","","982427.869","1995902.994","613968.6374","","5271264.916","1484516.928","2614155.866","3742030.546","","169639.5659","","3194160.996","","989081.3887","2013534.493","997056.8714","359622.042","","6329344.285","697436.3192","251317.8133","1090763.715","3059225.636","","1334698.462","","947136.7113","1973253.839","6362953.477","3298034.053","372876.5926","1542315.018","1062943.055","709463.9363","","245402.5543","1462264.165","","","991063.9263","1913251.541","207486.6317","1330545.209","10949176.15","77597.35649","","","302980.6016","3633269.636","272762.9855","","823122.2565","1714429.821","385422.6165","3077876.791","365257.531","616149.1603","869266.5383","1244102.652","895909.7052","133914.7442","1933917.299","703974.5233","","805717.1993","1536779.058","1597969.593","3993001.063","375216.1205","396384.9651","401565.5537","148021.6263","760941.5074","263528.199","692494.6944","1414312.329","0.5796600582908273"
"311","804.5509256","18.12103025","1343992.445","1188825.609","1921944.408","1570188.074","2150173.219","1554213.044","1945930.09","1638925.69","1879484.814","1942199.271","","1868622.145","1908613.921","1453101.889","913952.6855","1887523.061","1926854.93","1742422.077","2140696.114","1828465.108","2130751.243","1960996.692","1909418.69","","1984967.589","1870172.449","1843437.919","1668322.408","2035590.418","1966011.388","2323803.835","1582688.737","1724294.966","2349067.137","967604.2323","1766580.076","","1875162.643","1955157.753","1410847.069","1956506.497","1952058.417","1836983.676","1823159.203","1062128.871","1444277.116","1939314.598","1905597.604","2339156.689","","1952671.314","1944956.736","2049045.309","1570471.647","1808982.363","1680577.256","1762317.773","1723561.357","52598.81647","1924882.1","1943292.583","2265547.889","","2148163.021","2028683.17","2119667.613","1772863.77","1877821.511","1701866.449","1841473.397","1829495.739","2103105.202","1883230.336","1896879.45","2129473.945","","2066686.669","2085946.49","1915191.997","2300919.263","1665199.228","2186784.099","2168568.676","1963229.715","2366032.501","1806843.41","1885278.146","1899588.91","","2070921.583","1954174.247","1529808.243","2119836.463","2168355.583","2241624.184","1871568.325","1802137.061","2033953.701","2212085.31","1873352.268","1840173.528","","2043386.645","1960903.541","1150426.298","1305443.221","980215.8869","1620269.353","1411078.549","1400987.865","1426893.861","1399102.2","1577569.651","","1475868.481","1837066.593","1193858.067","1097946.627","1431045.295","1611922.455","1267386.821","1107502.124","949783.5055","1480298.428","871848.4599","1850757.038","","1101575.722","1217474.641","1429282.243","1499257.038","1915107.231","631184.3456","1411718.235","1795017.336","1004829.64","611220.7428","626650.0189","1632923.665","0.4070510578810711"
"313","87.0997647","1.884428437","1424767.73","2105497.063","1859994.98","1744507.777","1983616.479","1793046.101","1883552.742","1935054.72","1831203.646","","","1926534.795","1894854.079","1608404.733","2240893.655","2212503.509","1769559.501","1609497.347","1755406.404","1549545.494","1481789.155","","1635547.851","","1794795.595","1806427.923","1737089.719","1273634.558","1590371.255","1525592.47","2259409.009","1794872.237","2147065.693","2273651.026","2325091.47","1313292.568","","1883982.703","1803056.861","1141136.437","2013909.246","1657576.543","1798785.872","1494519.189","2038207.096","1234595.668","1613349.251","1725497.375","1767637.582","","1986923.167","2008518.064","2547658.141","1704158.171","1672754.414","2032672.655","1699678.116","1797895.545","1900067.643","1754890.925","1722512.862","2338075.634","","2023863.712","1861126.828","1986507.587","1861908.692","2096512.939","1843257.923","2029607.396","1614642.808","2221244.483","1660367.954","2187609.724","1949627.188","","2010854.651","1869564.645","2216184.459","2255017.239","1325190.603","1743941.823","1598005.288","1669551.719","1872771.262","1663881.982","1775922.288","1892813.412","","1991745.94","1763953.432","1969602.443","1846923.111","1904471.247","1990800.897","1679539.044","1618886.916","1930126.037","1932101.891","1492381.678","1520982.099","","1960004.086","1881465.102","","2254985.424","1800662.786","1870259.062","","1785587.034","1786941.392","2095743.767","2126341.803","","","1971816.159","1259738.421","1779474.325","1822459.062","1631547.627","","1701021.396","1606816.526","2200333.004","1533492.128","2501157.502","","1606929.362","1829438.437","2007574.693","1755727.268","","2142295.159","1607438.613","1573536.407","1526705.716","1675899.43","1909763.723","1398568.117","0.16151836993065816"
"317","105.0335888","5.393604792","1331519.884","755447.7666","2990068.045","485059.4433","2490320.151","3477423.559","1491821.674","1033422.672","1164935.719","704491.3459","","1656049.822","1881588.599","1243562.149","274523.4238","1607236.799","666760.5741","2485499.201","232898.5947","591351.745","180174.6589","1879474.778","2243641.818","46773.71608","1667632.343","1785211.347","907597.3591","1036664.897","818424.0555","1349832.894","253920.5454","6098823.315","1268113.4","","6393953.751","177763.5342","","1572207.518","1809036.648","611125.2237","1002330.659","658045.3479","15603704.14","2153110.33","993017.4021","1088510.198","1911688.025","","875312.2461","","1548495.227","1742776.122","515475.8506","789143.6248","2500899.791","2787849.04","1308112.689","826635.6809","3700024.675","4928264.607","406766.5115","702164.2287","","1634792.358","1732931.118","2056509.581","1483109.817","1724674.174","2363422.009","622463.078","1289805.146","1132985.422","575072.0978","754737.3415","1928800.285","","1501407.386","1777917.879","486839.7563","833963.7615","10682911.13","2333086.141","243173.4394","1612911.946","3186836.37","478614.6772","235400.2998","1763894.582","","1577453.63","1674111.565","1724118.602","434711.9247","1220426.725","1358296.838","4110896.631","2903391.276","689011.2091","1079011.127","632549.3021","1424380.191","","1499361.48","1699734.64","216147.6873","477217.4896","1055059.191","60394.81246","1186019.726","1138397.261","1621640.533","371196.2192","424671.6778","","1237211.144","1356995.924","3550904.439","568972.4376","885416.7087","6194776.232","","765961.6695","1395140.382","829211.4259","1704789.73","168580.7434","","1282468.333","1232044.635","2173246.853","","386395.5451","2524260.79","","438928.834","227915.4125","308156.5514","3380407.833","9540826.685","0.1713468242308397"
"318","125.0210281","1.474667062","924182.6675","1967436.373","1412939.594","1720679.424","645442.6501","727328.9457","713719.2176","870357.1517","987617.4939","2598039.383","","1217048.616","1876534.431","1333717.364","1767626.354","625453.9418","347362.3191","997369.7419","692066.2849","1096188.423","1160877.904","2263913.87","127323.6962","","963744.7747","1759759.143","1331247.612","3336013.552","128392.6982","511544.4928","593573.0086","836599.4117","3876055.436","459651.5476","571680.1406","147388.3027","","1138879.796","1816881.833","1120306.176","920272.7064","1179917.256","1567812.779","1249134.227","1798139.707","958307.186","317679.0878","863137.2032","61073.447","","1291553.811","2074395.57","1444141.112","3777547.007","3534806.491","445614.8299","1712959.534","84895.81353","671410.7002","732152.8074","1325188.7","924461.0279","","1421230.733","2016949.521","1082177.702","2172880.422","1819355.032","924127.979","106539.7824","1916422.29","1599396.92","834103.0041","1081536.69","2037310.937","","1386341.639","2007274.318","396092.167","3059242.845","838340.7757","594850.4807","3019615.269","722423.8225","942634.8198","7316221.526","525489.9415","744492.9113","","1350918.282","1980341.764","248562.569","1333178.719","193801.708","1254599.896","1511081.088","2041316.285","318740.8834","605558.2007","782889.1258","1936352.989","","","1921417.669","385139.0719","3268181.001","3647092.107","3400185.053","281229.0818","870372.9781","97155.1411","5056009.737","1512747.849","","1288678.662","2723398.634","2018736.828","1617215.385","324843.8352","3379151.637","2603090.97","5552782.465","2013284.197","1408354.804","830990.6444","1265715.073","","1168647.454","3959872.832","443435.851","1003648.246","504827.1851","1679806.993","1401395.099","1102972.156","2280287.327","1820106.979","2516872.254","342923.801","0.196388581317122"
"321","104.0528371","1.077854415","1542869.814","1630590.467","1884365.057","1632103.279","1911393.071","1930258.108","1695733.239","2226611.924","1664939.729","2126687.486","","1952738.279","1854779.728","1411399.798","1600750.528","2061643.395","1662167.525","1686951.824","1963846.52","2034120.451","1679905.289","2136345.267","1854059.119","","1744586.233","1849006.148","2019339.535","1405326.464","1394716.531","2261073.175","1579371.063","1937584.109","1377365.396","2413205.787","1654900.85","1189253.189","","1887750.399","1785625.352","1444590.719","2062229.64","1462404.168","1974109.363","1420129.408","1948526.284","1409639.836","1642592.147","1871879.307","1651317.31","","2097039.137","1880465.545","1868304.703","2002510.558","2228663.144","1751217.545","1675227.097","2171914.444","1719719.879","1884887.321","2062663.61","2354137.369","","2121863.189","1919335.953","2682368.502","1976609.867","2215114.99","1712920.821","1857677.985","1600731.134","1991545.89","2125426.455","2044421.552","2199971.673","","2201913.708","1946769.43","1814270.232","1134489.501","2004500.855","1695767.468","1894064.376","1553768.916","1814079.376","1931875.299","1691349.248","1771650.906","","2107354.829","1835979.186","1628834.925","2155706.227","1852115.123","2260216.076","1787074.911","1969351.155","2246855.288","2035641.638","1824661.681","1902989.319","","2070906.214","1786413.419","1869577.853","2594952.897","1754788.961","2007305.815","1675112.973","1881080.54","2146321.24","1714140.565","2304470.873","","1653329.315","1920350.284","1314686.633","2038628.511","2009840.893","2127788.756","2141106.817","1807505.896","1460317.638","2091999.155","1462366.619","2759665.086","","1637727.992","1795491.488","1854716.362","2267205.897","1324352.254","1290495.681","1779192.698","1895328.193","1674955.465","1392109.091","1884052.431","1672076.506","0.09757341251761609"
"323","617.4749565","16.86783978","4008470.706","1491333.619","301512.4953","2535565.473","1178881.061","1182564.286","1583008.652","1024778.723","2713304.89","2043470.427","242486.6586","1241277.801","1829952.859","5681879.613","1040879.024","2108973.982","3285954.121","1551337.064","2247228.155","3799116.155","1304642.891","1737977.782","2028712.438","180166.358","1724893.212","2325302.158","2223445.158","3370214.772","2246281.458","1549676.319","1168626.578","3136321.354","3304296.322","426295.4503","1110715.949","8167348.155","393512.6222","1490733.821","2381888.279","1210990.546","609459.5193","2839368.886","2205497.402","1347453.202","1703208.31","3187793.115","1823773.055","2380389.323","3370336.277","142521.0563","2262926.268","2202215.657","2051858.719","1940622.862","2277772.197","2220635.44","940450.2339","6370426.209","1391640.927","1500287.028","260300.0379","1182335.917","164597.3517","1430737.506","2089646.698","2857121.271","3297990.072","2540835.014","2830628.093","3587984.675","6397248.796","2663973.936","7834047.287","1607033.68","1638306.002","238481.6451","1652420.79","1812057.93","2308270.174","3009266.692","3466265.03","2105819.559","2416305.745","3093716.697","1050923.106","5124432.137","2310653.892","1622490.205","154406.2845","1603871.769","2527545.174","4884537.141","2599288.605","2329585.518","811639.4702","1935205.396","708070.9287","1549265.326","2969683.256","1999240.376","3590380.618","354418.145","2851835.237","2354747.97","2900043.956","3705756.481","1619222.554","4002739.826","3238535.423","3899645.244","704515.2864","2343059.053","2462424.934","142935.764","2856344.373","1255532.265","7820827.209","2383480.81","2598015.628","1448793.429","3141837.295","1026533.043","3798112.423","4320659.423","1039474.43","1360587.124","147844.867","3230160.663","1823276.99","1114724.229","10448645.51","2030114.617","6210674.648","2488719.493","2443310.537","4493342.283","3487559.341","1141310.559","770699.8534","0.5746813171959686"
"330","87.09975948","1.756692019","1133707.201","2135894.1","1775167.498","","1891649.696","","1716864.067","2185298.354","","","","1868126.991","1796041.373","1680037.946","2014109.812","1911224.513","","1680948.756","1901357.171","1746868.958","1216473.951","","","","1645663.338","1934267.937","1704002.075","","","","2337818.946","1669465.324","2403957.219","","2200058.939","","","","1644657.616","1196836.213","2213268.115","1718325.855","","","2068913.925","","","1801634.886","1715332.371","","","1934979.772","2676808.634","1660110.149","1598281.075","2061757.393","1935356.121","1559513.439","1895020.286","1627201.82","1866147.616","2248667.162","","2187269.175","1827120.969","2482221.369","1760153.494","","1861833.564","2059476.111","1536469.942","2199202.564","","","","","2117122.223","1835932.452","2030421.873","2257268.194","","1572432.18","1454931.825","1313059.051","2122516.283","","1757105.285","1782152.685","","","","1750707.851","1782990.202","1791128.946","","1571991.537","1335583.122","1802288.651","1814148.49","1483811.67","1510713.537","","2008213.899","1766654.146","1596864.734","2494658.13","1884285.207","1724550.776","2098708.311","1828478.277","1911664.588","1881422.505","2140256.822","","1659414.421","1994550.945","1007794.169","1709773.091","1834562.025","1643122.633","1817899.564","1812057.604","1665882.169","2188487.152","1725658.823","2377043.995","","1761411.297","1658014.035","1875653.544","1656153.255","1452635.896","2238946.244","1631892.402","1507725.616","1480692.554","1790108.913","1793162.746","1641092.582","0.1322670779888817"
"331","204.9793573","2.223989077","1887694.359","3064929.628","1992721.483","2292462.52","1257621.31","1171184.594","1858715.476","3344923.748","1643592.682","1768832.296","54336.14487","1936002.361","1794065.693","1248134.699","2796084.007","1954933.839","1585158.947","1976439.441","1326492.303","1798191.641","1573998.524","1176400.68","1235337.5","64482.92345","1455603.213","1370358.857","1421939.413","1302393.617","985114.6855","956771.5702","1502327.555","842637.3362","1677935.307","1038995.636","1621389.218","742899.1051","40666.57044","1191322.69","1116125.2","1058298.231","1268628.795","930356.3378","642650.7437","688757.6909","1138761.82","761706.149","761781.4139","837199.3168","878499.1076","46517.45155","1158263.614","1112761.016","1219842.292","751822.7406","615877.6461","1129000.921","1090324.249","893807.2239","639610.7349","1178273.776","1353841.55","1062394.634","37487.3795","1193494.076","1070342.285","1182118.867","940032.4358","1115130.395","1099673.296","1349723.79","874946.8374","967092.1317","631293.8413","853418.8062","1490165.945","29599.92019","1054770.124","1015166.701","1052644.608","2257402.044","329800.164","1018327.843","1073933.341","797740.1406","570233.6402","1375545.261","820367.7628","992093.3239","33198.20761","1032003.632","905599.4085","1065501.341","1163251.095","839489.8954","513577.7198","859438.6645","877272.2729","672190.2063","703526.6729","452514.1358","1219942.559","16723.28107","954968.1648","889433.8677","673181.786","436980.3474","742413.2974","1384249.475","1048808.863","881264.52","901079.4364","1247724.13","602286.6472","","778946.0033","1011256.066","725372.5637","1474413.632","563673.1361","771099.3769","1045571.517","674848.0143","816590.5014","787836.5033","800386.5131","1117858.969","16664.68795","761096.4742","888252.7666","775148.2304","652253.5107","481711.5104","1499224.468","753511.2922","772178.013","747477.0594","443507.0815","1226208.843","978446.6064","0.07827687782239501"
"333","393.9826262","1.10309453","1909990.285","2127028.598","2139792.613","1630922.308","1896733.59","1704848.817","1708309.804","1676678.351","1599551.345","1697349.261","","18715.86705","1778008.351","1236232.449","1512792.944","1465372.61","1443764.387","1549195.734","1471838.638","1514014.73","1315844.844","1488479.928","1279886.145","","13947.20742","1375769.411","1322467.345","1239733.215","1408244.377","1455243.995","1298256.997","1390368.69","1172947.761","1577298.218","1370882.992","1325166.873","","9536.342792","1370054.72","1202353.718","1324138.005","1228453.413","1084590.09","1422041.527","1379637.921","1277289.842","945021.4792","1048792.216","1135152.642","","19887.25056","1135018.83","1099544.748","1139273.467","1141977.03","1045710.133","1133187.663","924144.6991","1204491.605","989591.0957","1180561.378","1129650.556","","22308.17113","1187387.2","1041392.306","1035255.486","1008870.083","960267.2283","933859.3783","1265784.612","1039740.102","798211.2953","1120594.937","924471.9281","","19265.07375","1154817.825","1209359.829","1087991.9","1085389.098","969307.4264","1020255.048","829252.359","1297699.641","1301958.39","897442.2774","965373.9136","","9674.148567","945060.8675","862774.176","904210.877","1078208.823","1140042.114","917668.0454","1202155.433","975096.3452","923852.5904","987970.1929","966136.2145","","24102.67683","950277.5541","1334015.807","881916.5824","838080.7136","1295106.78","1237206.693","849525.0321","964946.2281","867876.773","1067103.274","","","985517.4909","1329323.693","812987.5934","1393208.914","997129.5067","1160488.167","1519843.663","1436213.51","1052485.381","1919283.649","931461.8251","","16613.63582","2072576.493","889797.1987","2062911.074","1066853.634","1758777.692","2222589.639","995520.7048","968554.2661","705637.7121","816256.2726","1081096.013","0.7335705732629092"
"334","130.0652367","7.827220383","1057206.037","755449.0495","786377.4345","1224379.294","1187463.995","1983500.686","611220.7986","1113625.9","1013427.56","757053.0533","111253.0672","1685698.322","1775929.15","1126347.717","612151.758","1519834.076","1380374.636","1854542.68","681866.4837","943099.3761","1498851.661","1903786.028","1142093.059","277729.4688","1587414.364","1713087.227","1203532.846","717273.265","1294703.573","752492.7931","6297139.527","1181170.024","10647709.98","2387801.176","670422.2806","982881.8357","249727.6747","1494252.959","1667799.812","1593560.769","1931327.545","1339765.539","2081833.163","10804005.07","961074.3423","909634.3376","754859.1909","839528.033","966387.7256","91770.65198","1496658.215","1548180.135","996236.7974","950791.602","3007966.276","1334502.023","1151639.725","1019378.445","967631.8139","1103909.674","1197149.615","1748783.699","219320.0847","1565598.66","1630372.944","1652482.051","2572706.798","1123184.903","1480466.203","833655.387","1007709.228","2646542.127","712189.2183","824716.4848","5070404.525","219564.3393","1466061.544","1603359.285","947309.0393","535662.7702","823508.0674","982651.5082","483015.3137","1667496.803","2149957.093","1086311.28","811112.2532","1084043.801","234505.8054","1515373.097","1518522.845","1374825.425","2044440.918","3085097.726","1008312.303","1228802.721","1315230.383","580605.3506","925707.1907","716291.3113","692349.997","109309.2871","1468035.477","1539491","594694.205","1435801.42","1027587.348","945519.5337","3140457.555","1112872.536","912406.9298","1010529.819","1116231.999","","1146900.762","1091551.288","968090.3336","452878.8398","1014611.985","722331.4537","744191.6739","540004.1091","1172876.107","1028818.759","1898304.179","1015514.492","","1197968.013","941489.2117","1536656.738","821595.8364","795503.1653","487888.6258","","790072.4474","877877.9631","1672592.359","433626.6678","863520.6811","0.14083423701937114"
"343","265.1180673","5.642337377","1603924.453","858551.8457","1666979.362","1512344.683","","5113730.196","5078400.469","2137044.345","2212440.474","546583.6201","","1693937.412","1720706.437","987934.4878","700351.9534","958071.8317","2289507.53","2465585.812","671761.6614","1509087.722","","1418425.234","1315140.653","","1667442.392","1625136.7","","598280.6528","746443.1516","996468.126","1241236.356","976846.1229","6079463.387","","1714465.468","1288623.536","","1579202.993","1694909.046","1383942.001","4002834.2","758335.7353","1591618.121","7454611.441","2025453.858","1748364.68","1075255.774","325516.7531","4645606.658","","","1659589.429","689568.5246","1281452.876","859357.4628","1072771.718","6774336.556","935632.7507","2562948.765","","1334160.728","1178896.92","","1674129.306","1627743.209","2020486.763","1391683.942","1319474.968","1100167.321","","857782.7715","2140828.455","2558521.903","1157778.3","1948405.629","","1660200.536","1663914.709","874501.8899","831485.1549","1483818.52","439534.1773","639877.7275","3485305.87","612865.4875","730550.7354","1573721.555","1548532.702","","1644626.515","1596243.992","3627534.713","475660.2717","1577940.548","2761834.855","","1634801.446","641137.3326","1737906.05","2249973.905","1238977.058","","1598272.194","1584759.838","","2376592.002","1050885.531","","617708.0248","905876.3768","954024.1528","726471.7308","1101211.308","","1279754.101","1256774.143","1156774.234","722185.4241","1701497.407","653510.529","859575.1487","1491172.84","2408838.961","1120244.924","3557611.506","1197668.94","","1328850.924","1089858.52","2336395.596","2735144.557","1197999.945","391001.5119","270578.7722","1327427.319","574366.5931","2468832.604","702248.9784","1188649.204","0.2621479668029024"
"345","218.9480768","0.50224777","1588962.773","1897363.149","1663058.389","1532072.635","1630446.198","1828955.452","1757719.243","1882416.798","1564533.115","1647470.552","","9428.079427","1708158.391","1543667.267","1837481.772","1680436.018","1587953.034","1804577.657","1800271.307","1724345.194","1625957.504","1484557.137","1612000.642","139429.3775","15453.96495","1584261.321","1446936.363","1474416.157","1673372.639","1625580.653","1685053.632","1648049.329","1365429.707","2233906.5","1699961.669","1609137.058","","","1640436.84","1750393.192","1893737.8","1719145.42","1513407.606","1637637.013","1553703.29","1444211.652","1523545.726","1559175.693","1768386.528","","12366.22507","1582713.738","1326962.566","1492125.643","1617065.774","1683880.963","1648667.183","1607299.061","1793152.94","1736207.428","1508313.014","1682626.985","","12372.19909","1534545.151","1404376.198","1687511.833","1425226.317","1464776.327","1485619.586","1491042.906","1496247.053","1343588.189","1477658.097","1576096.373","","9769.79844","1654647.028","1655967.287","1688504.706","1619478.298","1497641.127","1578612.203","1424417.629","1882979.402","1436610.213","1542164.991","1754954.503","","10587.02971","1559669.87","1626759.375","1670556.489","1750252.033","1889623.481","1531149.12","1707750.009","1638473.025","1504822.407","1689625.723","1505319.148","","12438.10287","1476777.166","1437547.518","1446597.591","1262210.828","1289429.584","1385849.873","1326948.886","1671913.598","1337107.671","1505967.322","","11947.34097","1475771.331","1450936.265","1365408.682","1680894.694","1352530.286","1420744.539","1430572.647","1455583.006","1390710.07","1309133.69","1575759.122","","","1360018.974","1637987.752","1405918.386","1815157.47","1232909.473","1375482.015","1445527.265","1234749.039","1187415.064","1404959.614","1662567.131","0.7168965604758694"
"354","230.9661184","0.502320868","1489225.917","1735156.25","1505552.709","1405798.861","1474954.922","1708635.193","1579735.84","1643552.533","1367957.9","1468331.715","","9312.775448","1634817.932","1386842.088","1602707.061","1581989.593","1460726.239","1629268.458","1586356.699","1573774.509","1466785.02","1456292.106","1499947.157","99879.88555","12966.86008","1503886.729","1282515.822","1361211.865","1551392.596","1448398.86","1529863.565","1528914.511","1268266.296","1926644.88","1557267.225","1433230.886","","7376.486327","1470021.852","1600029.297","1647571.191","1553435.213","1338668.951","1439674.823","1460339.647","1326993.852","1428248.892","1518714.495","1653766.312","","11508.32251","1555125.919","1326381.067","1418906.801","1649283.408","1721289.128","1649743.428","1613206.456","1867050.112","1763776.312","1458148.935","1598646.041","","9645.703009","1530211.463","1384209.671","1727852.394","1474856.835","1483109.795","1544793.421","1483086.073","1628941.45","1360580.097","1442738.147","1501997.625","","9979.772566","1685409.427","1605214.346","1769698.685","1641775.487","1463998.777","1646004.659","1406056.949","1871695.683","1401196.282","1563556.49","1631225.092","","","1583450.211","1593209.269","1567118.291","1742569.275","1889054.659","1548554.748","1660203.526","1721619.433","1559302.323","1682678.999","1614697.583","","","1534376.367","1495373.823","1472029.69","1297492.681","1313139.235","1409908.114","1386903.917","1733389.981","1318316.491","1467487.648","","10583.1397","1509580.067","1444187.61","1368312.485","1658608.224","1382472.109","1384943.424","1474274.994","1464376.463","1446653.355","1409065.207","1584361.812","","14357.13457","1462991.108","1549770.935","1425722.755","1896512.391","1247382.309","1437268.288","1535757.144","1333612.325","1161030.937","1311892.642","1721738.51","0.8094930946728112"
"356","794.566472","18.44663935","1780943.225","1402746.043","2901039.539","1578578.855","1850027.42","2627580.417","2166776.864","2353304.78","2242488.073","1709576.497","","1553052.591","1617403.858","1999435.216","911695.5075","2287105.277","1599169.833","2138394.981","2386309.023","1682654.111","1941247.665","1737153.109","1642850.349","","1264538.346","1691284.784","1342113.173","2442254.042","1726848.476","2099705.486","2050044.15","1459395.062","1559210.321","1815709.435","1311259.434","1771274.16","","1267620.03","1612650.36","1400663.824","2120663.84","1951814.189","2079891.648","2062824.897","1180481.52","2308044.065","1896541.483","2942578.284","2274270.494","","1555885.439","1963085.371","1199795.22","2578741.045","3053306.915","1911579.097","2410962.101","1567584.265","2694516.71","2341737.55","2890401.568","2456940.621","","1358148.17","1902333.965","2068779.455","2459124.768","1090229.264","2219778.126","1630811.276","1904721.99","1855926.724","1778896.459","2780051.364","2110510.234","","1403226.005","2042019.755","1423453.276","2439662.498","3310479.977","1639025.965","2052288.576","2877562.019","1942726.444","2803204.965","2120099.345","2937818.439","","1252141.847","2179720.612","1837548.643","1610480.105","2639987.661","1664494.295","2258572.329","3406375.06","2081194.139","1745443.644","3214594.865","1876526.535","","1510248.891","2398125.662","1359148.934","1749193.667","1562897.895","783129.0939","1691908.186","2153642.989","1631585.373","1634173.431","1364917.128","","1117560.588","1965385.955","1370130.252","1273938.872","1850497.199","1377494.511","1032716.579","780677.3129","1387457.562","1992857.982","800591.656","1503564.605","","1011131.759","1102164.847","1586565.741","1796072.519","2410877.611","649843.1868","889676.2816","1844902.519","1276467.143","413744.481","468418.0177","1051984.684","0.9132712075206953"
"357","109.1012689","8.283886336","1754394.484","2037768.071","1276999.626","1205042.613","1439324.569","2145800.757","1832270.384","1291263.063","1196963.894","1732695.4","4586381.684","380595.626","1616608.928","1426822.255","1412128.586","1215679.659","1086462.227","2035138.102","2085307.905","2047461.961","1075411.829","1677055.357","1989870.516","4451698.508","414313.4455","1573485.724","1311002.614","1496252.285","1288324.131","1218717.482","2230486.178","1573345.246","1831350.748","1468884.828","1672400.998","1283215.373","3182756.137","410491.238","1594436.596","1290697.546","1213244.744","1181123.661","1617818.767","1788377.591","1289259.594","2093952.125","2111020.094","1252820.716","1222103.282","3344474.637","480998.4043","1570900.717","1478594.7","1557327.341","1661477.286","1764463.743","1115423.083","1996690.608","1161455.978","2078320.117","1493888.141","1362039.059","4246994.333","501256.7719","1558769.026","1378570.633","1232573.442","1347660.73","1491708.369","1946142.76","1719913.454","1647931.34","1249943.055","1051726.348","1066053.083","773282.3575","406233.0468","1596007.409","1335753.066","2035645.05","1120563.165","1747352.072","1193952.151","2035414.083","1482464.909","932568.3516","931138.2093","952075.7471","3012657.523","385448.697","1492534.637","1873135.423","1515835.888","1057566.77","1451857.913","2214323.943","1250427.928","2397887.674","1301824.214","1380735.731","2076707.531","4703064.006","288172.108","1499266.787","813672.9545","1085738.325","1119308.514","1118874.651","1695026.159","995514.1054","1686627.309","1328240.581","1049056.674","3451645.623","341399.9748","1167613.54","1725065.52","1181515.279","1583260.706","1339299.334","915490.8797","873085.3888","935901.098","1132871.02","782202.68","1276416.824","4845571.993","499751.8862","1117614.925","973923.3929","1024440.467","1316658.157","1029795.058","1166204.146","1001439.122","1232178.821","854210.8209","912723.3428","1815421.051","0.07987081751712177"
